epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0829,1.40368,2.87032,1.42731,0.00583,0.77778,0.28199,0.1722,1.02567,3.21644,1.15014,6e-05,6e-05,6e-05
2,35.1677,1.24482,2.76131,1.33082,0.005,0.66667,0.43105,0.3052,1.23018,3.18122,1.33641,0.000137228,0.000137228,0.000137228
3,51.8361,1.16564,2.60786,1.22315,0.00583,0.77778,0.48267,0.26777,1.2787,3.33825,1.4554,0.000211288,0.000211288,0.000211288
4,67.8878,1.07903,2.33693,1.17719,0.00583,0.77778,0.55917,0.3375,1.17433,3.26062,1.40429,0.00028218,0.00028218,0.00028218
5,84.5653,1.09861,2.1726,1.16757,0.00583,0.77778,0.4452,0.3238,1.33596,3.19919,1.50994,0.000349904,0.000349904,0.000349904
6,100.807,0.96404,1.8964,1.10399,0.00583,0.77778,0.39328,0.27298,1.34273,3.14051,1.53937,0.00041446,0.00041446,0.00041446
7,117.437,1.00076,1.79634,1.10897,0.005,0.66667,0.40586,0.30712,1.48745,3.27436,1.62511,0.000475848,0.000475848,0.000475848
8,133.557,0.97918,1.60538,1.17635,0.005,0.66667,0.32847,0.20595,1.60852,3.51682,1.68984,0.000534068,0.000534068,0.000534068
9,150.041,0.97167,1.4841,1.12243,0.10464,0.22222,0.19657,0.12592,1.87067,3.60094,1.91481,0.00058912,0.00058912,0.00058912
10,167.244,1.04054,1.40246,1.13473,0.52619,0.22222,0.29644,0.14303,2.03692,3.42622,2.132,0.000641004,0.000641004,0.000641004
11,183.632,1.00217,1.42553,1.15616,0.00651,0.44444,0.26068,0.17809,2.00662,3.47284,2.14664,0.00068972,0.00068972,0.00068972
12,200.233,0.97498,1.41503,1.12466,0.85376,0.11111,0.15331,0.12515,1.95933,3.55285,1.9206,0.000735268,0.000735268,0.000735268
13,217.098,1.01767,1.37268,1.0745,1,0.21484,0.3065,0.16661,2.1248,3.25436,2.15735,0.000777648,0.000777648,0.000777648
14,235.953,0.94837,1.30067,1.08193,1,0.21608,0.35407,0.16735,2.08025,3.25862,2.08465,0.00081686,0.00081686,0.00081686
15,251.995,1.0087,1.32013,1.09703,0.92548,0.11111,0.19642,0.1292,1.88763,3.13865,1.94846,0.000852904,0.000852904,0.000852904
16,267.923,0.99171,1.28441,1.12282,1,0.19718,0.25981,0.14871,1.97499,3.12967,1.96222,0.00088578,0.00088578,0.00088578
17,284.072,0.93118,1.27425,1.08728,0.8316,0.22222,0.26119,0.16449,1.83062,3.07118,1.93148,0.000915488,0.000915488,0.000915488
18,299.942,1.01071,1.27478,1.13946,0.90421,0.22222,0.25488,0.13225,2.15167,3.08302,2.29217,0.000942028,0.000942028,0.000942028
19,315.743,0.90812,1.23115,1.09774,0.93009,0.22222,0.29778,0.17117,1.82878,3.09206,2.00193,0.0009654,0.0009654,0.0009654
20,331.581,0.87845,1.14962,1.0673,0.9482,0.22222,0.2692,0.1636,1.76657,3.03885,2.02651,0.000985604,0.000985604,0.000985604
21,347.466,0.94347,1.13084,1.06632,1,0.22158,0.27262,0.20333,1.69862,2.82329,2.01028,0.00100264,0.00100264,0.00100264
22,363.356,0.85525,1.1801,1.05934,0.98421,0.22222,0.28671,0.1504,1.52312,3.00705,1.75693,0.00101651,0.00101651,0.00101651
23,379.071,0.82189,1.0515,1.01305,1,0.21867,0.25069,0.14346,1.58002,2.91071,1.87266,0.00102721,0.00102721,0.00102721
24,394.951,0.83688,1.13238,1.02284,0.96454,0.22222,0.23667,0.1354,1.85089,3.17873,2.16251,0.00103474,0.00103474,0.00103474
25,410.765,0.85144,1.06641,1.01788,0.97652,0.22222,0.23028,0.17491,1.8898,3.12006,2.05247,0.0010391,0.0010391,0.0010391
26,426.556,0.84721,1.08367,1.08334,0.97774,0.22222,0.23153,0.12646,1.99439,3.05365,2.10959,0.00101,0.00101,0.00101
27,442.347,0.85736,1.093,1.05591,0.9679,0.22222,0.28513,0.15233,1.91269,3.03203,2.01712,0.0009704,0.0009704,0.0009704
28,458.277,0.91443,1.10019,1.09893,0.96746,0.22222,0.33026,0.18712,1.94355,2.97044,2.03704,0.0009308,0.0009308,0.0009308
29,474.209,0.83695,0.95967,1.01579,0.97131,0.22222,0.33049,0.15167,1.88404,2.84943,1.95401,0.0008912,0.0008912,0.0008912
30,490.098,0.87834,1.0039,1.04539,0.97537,0.22222,0.31034,0.14707,1.85591,2.73064,1.98084,0.0008516,0.0008516,0.0008516
31,505.924,0.80824,1.0164,1.01479,0.97029,0.22222,0.29714,0.14473,1.68594,2.95561,1.76265,0.000812,0.000812,0.000812
32,522.263,0.90731,0.99281,1.04184,0.74286,0.32381,0.37391,0.20822,1.59099,2.83756,1.59212,0.0007724,0.0007724,0.0007724
33,538.656,0.78198,0.95325,0.99161,0.73328,0.33333,0.33812,0.27341,1.56676,2.79894,1.60838,0.0007328,0.0007328,0.0007328
34,555.348,0.80405,1.01753,1.0189,1,0.42716,0.47398,0.29337,1.50924,2.6454,1.59792,0.0006932,0.0006932,0.0006932
35,571.303,0.75187,0.89259,0.96685,0.96161,0.22222,0.31087,0.2408,1.64636,2.53897,1.68849,0.0006536,0.0006536,0.0006536
